TIME,TARGET,PACKET,CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_MIRCOSECS,LONGITUDE,LATITUDE,ALTITUDE,DEV_LAT,DEV_LON,DEV_ALT,SOLN_AGE,SATS_TRACKED,SATS_SOLN,SOLUTION_INFO,DATUM,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,PACKET_TIME
2023-08-12T14:13:55.065Z,GPS,GEODETIC,3121,51296,83,1691849635,15.197787433862686,-161.85263061523438,-36.67870330810547,412.3860168457031,0.0025772000662982464,0.0018019999843090773,0.003571100067347288,0,10,10,16410;SOL_COMPUTED,WGS84,1691849635.065274,2023/08/12 14:13:55.065,1691894442.6408694,2023/08/13 02:40:42.640,4473,2023-08-12 14:13:55 +0000
2023-08-12T14:14:15.065Z,GPS,GEODETIC,3121,51297,83,1691849655,15.200814232230186,-160.70541381835938,-35.8480224609375,412.0569763183594,0.0027582000475376844,0.0017761000199243426,0.0038960000965744257,0,9,9,16410;SOL_COMPUTED,WGS84,1691849655.0652869,2023/08/12 14:14:15.065,1691894442.6430717,2023/08/13 02:40:42.643,4474,2023-08-12 14:14:15 +0000
2023-08-12T14:14:26.000Z,GPS,GEODETIC,3121,51298,83,1691849666,0.008381903171539307,-160.1414337158203,-35.4279670715332,411.8943786621094,0.0030094999819993973,0.0024405999574810266,0.005958499852567911,0,6,6,16410;SOL_COMPUTED,WGS84,1691849666.000036,2023/08/12 14:14:26.000,1691894442.6455183,2023/08/13 02:40:42.645,4475,2023-08-12 14:14:26 +0000
2023-08-12T14:14:36.000Z,GPS,GEODETIC,3121,51299,83,1691849676,0.0016298145055770874,-159.5836944580078,-35.004859924316406,411.7272033691406,0.0022907000966370106,0.0014600000577047467,0.0037104999646544456,0,8,8,16410;SOL_COMPUTED,WGS84,1691849676.000007,2023/08/12 14:14:36.000,1691894442.6475146,2023/08/13 02:40:42.647,4476,2023-08-12 14:14:36 +0000
2023-08-12T14:14:46.000Z,GPS,GEODETIC,3121,51300,83,1691849686,0.027939677238464355,-159.03208923339844,-34.578792572021484,411.5616149902344,0.0022299999836832285,0.001393200014717877,0.003264599945396185,0,10,10,16410;SOL_COMPUTED,WGS84,1691849686.0001202,2023/08/12 14:14:46.000,1691894442.6494844,2023/08/13 02:40:42.649,4477,2023-08-12 14:14:46 +0000
2023-08-12T14:14:56.000Z,GPS,GEODETIC,3121,51301,83,1691849696,0.05145557224750519,-158.4864959716797,-34.14982604980469,411.39483642578125,0.00227569998241961,0.0016450999537482858,0.003970100078731775,0,8,8,16410;SOL_COMPUTED,WGS84,1691849696.000221,2023/08/12 14:14:56.000,1691894442.6514928,2023/08/13 02:40:42.651,4478,2023-08-12 14:14:56 +0000
2023-08-12T14:15:06.000Z,GPS,GEODETIC,3121,51302,83,1691849706,0.11129304766654968,-157.9468231201172,-33.718048095703125,411.2284851074219,0.002273400081321597,0.0016404000343754888,0.0038487999700009823,0,8,8,16410;SOL_COMPUTED,WGS84,1691849706.000478,2023/08/12 14:15:06.000,1691894442.6535013,2023/08/13 02:40:42.653,4479,2023-08-12 14:15:06 +0000
2023-08-12T14:15:16.000Z,GPS,GEODETIC,3121,51303,83,1691849716,0.11525116860866547,-157.4129180908203,-33.28351593017578,411.0613708496094,0.0022652000188827515,0.00163720001000911,0.003792600007727742,0,8,8,16410;SOL_COMPUTED,WGS84,1691849716.0004952,2023/08/12 14:15:16.000,1691894442.6557274,2023/08/13 02:40:42.655,4480,2023-08-12 14:15:16 +0000
2023-08-12T14:15:26.000Z,GPS,GEODETIC,3121,51304,83,1691849726,0.13853423297405243,-156.8846893310547,-32.846309661865234,410.8935241699219,0.0022464999929070473,0.0016246000304818153,0.0037338000256568193,0,8,8,16410;SOL_COMPUTED,WGS84,1691849726.0005949,2023/08/12 14:15:26.000,1691894442.6578822,2023/08/13 02:40:42.657,4481,2023-08-12 14:15:26 +0000
2023-08-12T14:15:36.000Z,GPS,GEODETIC,3121,51305,83,1691849736,0.12177042663097382,-156.3620147705078,-32.406494140625,410.725830078125,0.0022950998973101377,0.0016907999524846673,0.0038687000051140785,0,8,8,16410;SOL_COMPUTED,WGS84,1691849736.000523,2023/08/12 14:15:36.000,1691894442.659853,2023/08/13 02:40:42.659,4482,2023-08-12 14:15:36 +0000
